trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",30,0,-60.4231711997713,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,0,-41.08154484226726,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-38.829458571007606,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-46.03519774856074,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,0,-74.44063010547859,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-54.0627306089308,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-35.89706508547422,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",30,0,-36.17226178730014,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-30.95147592328714,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-36.21944102215242,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-42.46812386515458,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-25.31742629898491,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-43.76851264506863,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-26.617474994485207,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",35,0,-71.8345973672522,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,0,-56.9290220286824,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,0,-35.7131323888058,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-40.50330930586742,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-50.99815733442902,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,0,-57.90696452128648,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': -0.05000000000000032, 'a': 0.5}",20,0,-20.674368619012267,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': -0.10000000000000032, 'a': 0.5}",20,0,-44.157301297053955,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': -0.15000000000000033, 'a': 0.5}",25,0,-58.13360376931157,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': -0.20000000000000034, 'a': 0.5}",25,0,-60.040385894534985,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'e': -0.25000000000000033, 'a': 0.5}",30,0,-71.08564695474097,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': -0.3000000000000003, 'a': 0.5}",20,0,-48.792870241787064,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': -0.3500000000000003, 'a': 0.5}",30,0,-56.40954964349752,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': -0.4000000000000003, 'a': 0.5}",25,0,-69.7443946038637,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
9,True,"{'e': -0.4500000000000003, 'a': 0.5}",25,0,-53.83990289506294,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': -0.5000000000000003, 'a': 0.5}",20,0,-54.76175780173341,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
