trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999, 'a': 0.7}",20,0,-133.26628083199336,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'e': 0.9997000299990001, 'a': 0.7}",20,0,-14.049939966292722,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
3,False,"{'e': 0.9994001499800016, 'a': 0.7}",30,20,-55.251416187356334,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,False,"{'e': 0.9990004498800211, 'a': 0.7}",20,0,-8.293925118867765,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'e': 0.9985010495451366, 'a': 0.7}",25,0,-83.08547539670833,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
6,False,"{'e': 0.9979020986705985, 'a': 0.7}",20,0,-142.6580930045194,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'e': 0.9972037767260469, 'a': 0.7}",20,0,-92.78666709504837,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,False,"{'e': 0.9964062928658871, 'a': 0.7}",25,0,-193.93338362563432,"{0: 9, 1: 6, 2: 5, 3: 4, 4: 1}",0
9,False,"{'e': 0.9955098858248878, 'a': 0.7}",20,0,-61.648568652729296,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'e': 0.9945148237990713, 'a': 0.7}",20,0,-31.5941592174549,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'e': 0.9934214043119833, 'a': 0.7}",20,0,-47.59701064661441,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'e': 0.9922299540664323, 'a': 0.7}",30,0,-102.5596315104734,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'e': 0.9909408287818035, 'a': 0.7}",20,15,1.7325774768635698,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.98955441301706, 'a': 0.7}",20,0,-77.3623405937853,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'e': 0.9880711199795561, 'a': 0.7}",20,0,-97.19692027752163,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'e': 0.9864913913197929, 'a': 0.7}",25,0,-146.99105139580803,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'e': 0.9848156969122622, 'a': 0.7}",25,0,-158.93933822037187,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
18,False,"{'e': 0.9830445346225284, 'a': 0.7}",25,0,-203.9817959588501,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
19,False,"{'e': 0.9811784300607108, 'a': 0.7}",20,0,-75.32248425455239,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
20,False,"{'e': 0.9792179363215385, 'a': 0.7}",25,7,-103.10859618413586,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 2}",1
21,False,"{'e': 0.9771636337111558, 'a': 0.7}",20,0,-74.2284980184849,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
22,False,"{'e': 0.9750161294608679, 'a': 0.7}",25,0,-103.6706034246621,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
23,False,"{'e': 0.9727760574280251, 'a': 0.7}",35,0,-177.7097764914067,"{0: 22, 1: 4, 2: 6, 3: 0, 4: 3}",0
24,False,"{'e': 0.9704440777842511, 'a': 0.7}",25,0,-182.84233681749367,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
25,False,"{'e': 0.9680208766912298, 'a': 0.7}",30,0,-61.52742246081936,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
26,False,"{'e': 0.9655071659642744, 'a': 0.7}",25,0,-147.31568083983908,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
27,False,"{'e': 0.962903682723909, 'a': 0.7}",25,0,-74.5937886566714,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
28,False,"{'e': 0.9602111890357012, 'a': 0.7}",20,0,-125.10344903012479,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
29,False,"{'e': 0.9574304715385932, 'a': 0.7}",20,16,4.258148858450021,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'e': 0.9545623410619837, 'a': 0.7}",25,0,-198.46913938373166,"{0: 10, 1: 3, 2: 5, 3: 7, 4: 0}",0
31,False,"{'e': 0.951607632231822, 'a': 0.7}",25,0,-343.244930609515,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 6}",0
32,False,"{'e': 0.9485672030659825, 'a': 0.7}",30,0,-117.95015801433284,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
