trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-100.95735716613147,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-77.36635087951387,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",30,0,-44.79173181940776,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,0,-36.97406693303631,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-24.522928356954473,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,False,"{'e': 1.0, 'a': 0.5}",20,0,-9.94376028876313,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-209.9015268077569,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-91.89459608243304,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-135.223619140363,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-86.01832347875296,"{0: 11, 1: 7, 2: 7, 3: 0, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-146.35960717121242,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-68.27952924907089,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-110.84484041245547,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,0,-167.68639849884204,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-136.68699849399547,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-108.87996056958485,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-152.6006545238709,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
18,False,"{'e': 1.0, 'a': 0.5}",25,0,-101.73776922145008,"{0: 14, 1: 0, 2: 11, 3: 0, 4: 0}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,3,-78.2267172842419,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-121.55272717222572,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,2,-140.0766000650007,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 2}",1
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-83.06588375310655,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-160.66622550698025,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",30,0,-238.57341712061893,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
5,True,"{'e': 1.0, 'a': 0.5}",25,0,-190.70695411872288,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,0,-118.28032296851813,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",35,0,-100.12621335957691,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-133.9963088461836,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-122.14960373474645,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",30,0,-113.29971750769006,"{0: 21, 1: 2, 2: 3, 3: 3, 4: 1}",0
